ticker,company_name,quote_type,exchange,exchange_name,currency,country,sector,industry,website,employees,market_cap,first_trade_date,age_years_since_first_trade,business_summary,listing_source,updated_at_utc
0P0000SCWD.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000TG30.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000TPAT.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000TWQD.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000U5JR.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000U62R.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000UGMA.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000UOHZ.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000V6X4,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000V6X7,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000VBPH.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000VPWA.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000VUYE.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000VUYF.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000W4GO.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000WJLC.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000WJLP.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000WJMR.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000WV0J.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000WV38.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000X0VU.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000XAR7.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000XXNF.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000XXNG.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000YL6D.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000YSHA.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000YW39.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000YW3F.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000YW3H.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000YXR3.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000YXR4.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000YXR6.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000ZCS9.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000ZCTA.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000ZCWK.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000ZDI7.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000ZFE7.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000ZGJ5.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000ZMM2.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0000ZXLT.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00012DD2.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00012UCU.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00013BS3.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00013WZS.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00013Z9G.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00014F7Y.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00015CCM.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00015SK3,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000165QQ.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00016LIB.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00016N5D.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00016N6E.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00016XV3.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001703K.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000176DL.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00017MHK,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00017YCD.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00017YCK.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00017YXH.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P000184UP.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00018PVY.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00019UT2.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00019WES.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00019WHF.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00019YBP.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00019YBQ.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P00019YBR.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001A1FW.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001AAKP.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001AF4R.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001C8AE.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001C8AO.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001CB3A.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001D8QF.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001ED7S.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001EDJY.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001EDRL.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001EDRM.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001EQ5U.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001EQZG.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001ESHI.SW,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001FAU5.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001FAU8.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001FGJG.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001FKWD.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001GXZ7,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
0P0001GZLR.TO,,,,,,,,,,,,,,,file,2026-01-20 03:00:48+00:00
